Derive (3x + 12)^6|18(3x + 12)^5|-6(3x + 12)^5|6(3x + 12)^5|-18(3x + 12)^5
Derive 5/(x^2 + 4x)^1/3|-(5/3)(2x + 4)(x^2 + 4x)^(-4/3)|(5/3)(2x + 4)(x^2 + 4x)^(-4/3)|(5/3)(x^2 + 4x)^(-1/3)|-(5/3)(2x - 4)(x^2 + 4x)^(-4/3)
Derive sin^4(3x)/cos^4(3x)|12tan^3(3x)sec^2(3x)|-12tan^3(3x)sec^2(3x)|4tan^3(3x)sec^2(3x)|4tan^3(3x)sec^2(3x)
Differentiate 4xcos(12x)|-48xsin(12x) + 4cos(12x)|48xsin(12x) - 4cos(12x)|48xsin(12x)|-48xsin(12x)
d/dx[sin(x^3 - 12x^2 + 3)]|cos(x^3-12x^2+3)(3x^2-24x)|-cos(x^3-12x^2+3)(3x^2-24x)|sin(x^3-12x^2+3)(3x^2-24x)|cos(x^3-12x^2+3)
d/dx[(sin(4x) - sin(2x))^2]|2(sin(4x) - sin(2x))(4cos(4x) - 2cos(2x))|2(sin(4x) + sin(2x))(4cos(4x) + 2cos(2x))|(sin(4x) - sin(2x))(4cos(4x) - 2cos(2x))|-2(sin(4x) - sin(2x))(4cos(4x) - 2cos(2x))
Derive 8e^(3x) + 3|24e^(3x)|24e^(3x) + 3|24e^(3x - 1)|24e^x
d/dx[5ln(12x^2)]|10/x|5/(12x^2)|5/(12x)|2/x
f(x) = x^3 + 4x, g(x) = x^2, h(x) = f(g(x)) What is h'(x)?|2x^7 + 8x^3|6x^5 + 8x|x^6 + 4x^2|(x^6 - 4x^2)(2x)
f'(x) of 6arcsin(3x)|18/(1-9x^2)^(1/2)|-18/(1-9x^2)^(1/2)|18arccos(3x)|6/(1-9x^2)^(1/2)
Differentiate e^(2x)cos(2x)|2e^(2x)(cos(2x) - sin(2x))|-2e^(2x)(cos(2x) - sin(2x))|-4e^(2x)sin(2x)|4e^(2x)sin(2x)
y = (6 - 4x)^(1/2). What is y'?|-2/(6 - 4x)^(1/2)|2/(6 - 4x)^(1/2)|1/(2(6 - 4x)^(1/2))|-1/(2(6 - 4x)^(1/2))
y = 4x^(2/4) - 3x^(3/9) - 7. What's y'?|2x^(-1/2) - x^(-6/9)|2x^(-2/4) - x^(-6/9) - 7|2x^(1/4) - x^(2/9)|2x^(-1/2) + x^(6/9)
d/dx[(2 - 10x)/(2 + 10x)]|-40/(2 + 10x)^2|40/(2 + 10x)^2|0|-20/(2 + 10x)^2
x(t) = <t^3 + 2t, e^(3t)>. What's v(t)?|<3t^2 + 2, 3e^(3t)>|<3t^2 + 2t, e^(3t)>|<6t, 9e^(3t)>|<3t^2, 3e^(3t)>
y = 5xcos(x). What's y''?|5cos(x) - 5xsin(x)|5cos(x) + 5xsin(x)|5cos(x)|-5sin(x)
y^2 + 2x^3 = 14x. What's dy/dx?|(14 - 6x^2)/(2y)|(2y)(14 - 6x^2)|(2y)/(14-6x^2)|(14 + 6x^2)/(2y)
x(t) = t^3 + 2. y(t) = t^2 + 2t + 2^10. What's dy/dx?|(2t + 2)/(3t^2)|(3t^2)/(2t + 2)|1024|(t^2 + 2t + 2^10)/(t^3 + 2)
g(x) = x^2 - 4x. What's the relative maximum value of g(x) on the interval [-1, 4]?|5|-4|0|12
g(x) = -(x + 4)^3. What's the minimum value of g(x) on the interval [-4, -3]?|-1|-5|0|-7
d/dx[xsin(x)cos(x)]|cos(x)sin(x) + xcos^2(x) - xsin^2(x)|cos(x)sin(x) - xcos^2(x) - xsin^2(x)|cos(x)sin(x) + xcos^2(x) + xsin^2(x)|2sin(x)cos(x)
d^2/dx^2[sin^2(x)]|2cos^2(x) - 2sin^2(x)|2cos^2(x) + 2sin^2(x)|4cos^2(x) + 1|2cos^2(x) - 1
x(t) = t^2 + 2. y(t) = 3t^4 + 5t^2 + t. What's dy/dt?|12t^3 + 10^t + 1|2t|(12t^3 + 10^t + 1)/(2t)|36t^2 + 10
e^y = 2x. What's dy/dx?|1/x|e^1|ln(x)|1/(2x)
Air is pumped into a spherical balloon at a rate of 5 cm3/min. What rate is the radius increasing when the diameter is 20 cm?|1/(80PI) cm/min|1/(40PI) cm/min|80PI cm/min|40PI cm/min
Derive (4x + 6)^3|12(4x + 6)^2|-12(4x + 6)^2|3(4x + 6)^2|-3(4x + 6)^2
Derive sin^6(2x)|12sin^5(2x)cos(2x)|-12sin^5(2x)cos(2x)|6sin^5(2x)cos(2x)|-6sin^5(2x)cos(2x)
